node1,node2
438,26
21,41
129,403
282,184
355,114
438,390
102,102
615,459
82,612
121,21
254,216
531,106
506,496
333,173
59,132
210,927
256,405
17,493
201,204
373,964
182,61
443,437
11,324
5,57
60,395
128,51
183,419
97,5
229,229
6,1001
133,30
170,282
248,612
6,204
41,5
283,589
229,165
342,181
147,533
65,352
166,165
107,420
428,676
133,405
978,900
329,495
254,165
860,116
155,173
419,169
450,105
142,467
191,212
280,388
282,559
427,96
300,118
242,303
249,340
47,172
481,6
278,284
440,321
269,446
85,151
498,500
394,321
288,83
922,205
176,176
560,224
377,486
572,484
190,13
114,28
474,258
36,29
30,438
309,183
258,16
58,411
464,523
226,232
417,47
748,300
257,183
455,58
89,215
286,880
394,295
187,155
28,115
339,336
390,380
685,4
31,282
951,913
94,918
950,158
341,74
106,405
133,284
310,18
243,235
333,547
252,114
84,272
114,114
258,356
160,352
142,494
187,434
96,242
883,337
19,513
96,13
520,138
210,121
393,424
133,333
116,470
458,542
145,290
126,55
204,820
197,65
392,283
107,736
6,54
602,182
608,529
160,591
695,607
5,312
9,699
160,319
86,598
186,932
408,281
851,851
84,77
82,188
209,909
226,85
150,179
142,269
199,288
469,90
106,132
303,235
23,37
59,63
23,421
283,252
12,19
163,82
317,248
333,96
708,62
562,654
366,256
564,480
93,493
249,518
158,235
264,510
232,380
183,4
521,554
546,226
309,42
189,671
481,208
172,450
685,281
533,190
121,232
261,980
414,443
268,212
285,62
107,371
491,753
170,607
355,255
641,669
521,482
424,160
30,339
510,84
212,160
100,125
157,64
473,115
56,303
3,193
46,428
427,145
498,707
474,166
157,681
113,318
253,459
252,236
886,59
18,376
847,443
149,180
63,305
16,495
409,190
409,800
342,95
31,337
326,86
662,371
434,367
963,235
840,64
275,226
64,197
600,401
896,81
370,115
483,172
292,493
342,167
528,644
372,115
211,469
157,483
608,440
159,236
226,74
300,10
212,268
820,142
28,129
523,172
27,25
44,504
427,651
526,401
86,212
573,573
156,349
160,237
170,133
218,311
161,358
6,168
251,860
259,248
121,105
217,288
343,207
211,434
333,444
480,221
424,74
377,659
366,372
403,221
937,937
160,145
187,405
155,183
377,228
62,237
240,241
280,284
54,738
62,68
368,181
859,281
44,293
412,243
226,186
213,246
159,166
552,515
290,167
424,258
121,326
160,159
45,46
160,717
65,264
685,175
169,301
560,913
283,601
41,113
322,592
271,131
294,129
288,217
232,484
573,9
430,308
129,212
440,368
200,94
274,592
160,106
370,26
156,191
171,245
82,230
482,331
8,86
210,282
492,932
173,306
451,566
141,161
5,902
918,51
86,41
932,492
208,155
160,880
917,557
15,335
6,562
261,82
590,438
107,820
572,350
480,356
493,166
506,83
352,60
840,232
424,124
362,283
169,64
105,473
140,272
254,137
698,194
160,296
129,563
83,209
268,537
474,111
309,95
134,553
496,922
851,350
826,809
499,506
560,1
552,571
170,537
240,234
474,356
337,116
434,121
86,438
47,220
366,115
295,394
738,211
162,468
135,96
569,365
36,25
336,115
96,304
929,335
107,254
607,453
450,123
428,216
113,486
356,62
409,10
23,160
252,6
170,470
97,708
361,361
172,130
96,151
115,42
253,282
183,351
231,342
282,880
137,301
760,546
307,307
355,106
665,812
333,486
393,947
118,511
13,301
23,29
293,661
206,200
453,420
278,351
98,99
0,368
562,533
284,351
37,25
211,481
726,212
440,440
498,503
116,116
405,548
303,87
57,252
284,191
457,65
374,499
336,27
394,390
361,62
28,303
878,23
190,299
485,333
797,797
971,679
651,301
86,81
134,133
166,347
593,200
17,671
569,566
828,419
397,296
155,128
221,85
85,467
280,515
493,615
142,367
17,424
6,528
880,3
233,209
230,80
393,180
377,147
373,283
272,651
133,337
218,313
212,253
86,113
248,17
82,548
102,100
19,754
57,849
494,170
459,218
253,87
537,486
211,128
113,455
841,368
280,81
92,105
446,335
116,370
211,44
340,593
55,211
13,190
86,444
976,47
81,249
185,125
108,356
404,145
408,993
236,238
412,138
377,745
17,62
274,139
793,613
206,128
269,145
971,569
665,58
338,724
48,338
82,128
165,482
851,180
93,515
100,424
298,299
339,361
11,720
543,292
397,390
288,152
31,51
46,446
31,27
887,885
671,69
183,913
552,55
13,40
4,62
282,41
229,183
226,225
196,918
387,366
98,708
3,859
113,47
424,30
183,562
234,963
169,28
412,971
5,82
886,601
232,501
359,499
86,453
733,723
182,308
358,466
450,543
141,729
225,311
174,137
309,221
64,140
18,797
13,302
5,63
66,111
327,945
381,391
284,642
172,440
373,184
551,473
526,568
125,937
338,116
695,129
856,121
847,48
146,601
553,86
68,509
317,314
280,160
342,103
34,24
832,832
48,423
690,21
111,108
820,41
346,342
278,168
62,188
256,531
471,333
323,447
359,558
441,434
79,811
218,215
495,16
404,373
127,169
105,280
70,431
353,404
226,121
19,11
517,408
180,122
199,434
58,160
166,209
53,14
14,290
303,128
167,377
498,804
121,373
493,254
420,409
473,170
128,183
114,919
419,129
513,222
493,483
644,489
420,60
541,150
698,481
419,333
66,90
496,141
162,492
414,415
385,376
181,6
65,498
371,121
303,807
971,554
473,129
820,63
529,7
661,505
204,94
520,832
13,655
81,365
393,105
115,233
401,542
388,60
331,464
141,62
533,61
56,138
269,303
2,305
440,275
820,42
320,381
754,569
114,39
282,401
13,484
497,548
160,183
62,495
305,63
271,738
411,728
389,387
509,160
971,190
156,734
437,135
95,183
511,337
303,365
549,74
820,243
53,397
615,404
66,146
86,114
295,392
403,526
820,160
434,41
183,956
459,498
285,683
173,166
308,17
613,614
301,199
296,385
434,23
190,105
184,473
41,483
28,113
337,437
160,169
165,434
286,80
353,935
546,597
180,348
423,171
7,499
513,19
448,484
664,694
506,430
5,789
346,5
420,301
435,793
323,662
373,82
254,153
465,615
260,74
135,443
37,27
252,546
213,602
353,142
142,216
249,132
466,160
63,210
963,237
480,39
19,499
95,776
106,329
529,421
23,32
245,443
728,327
248,260
96,866
102,101
21,537
511,682
463,462
815,64
282,256
443,417
256,296
67,108
161,267
283,388
494,128
191,278
285,131
281,615
2,107
96,610
282,665
145,546
232,397
168,290
16,304
187,160
377,526
244,237
297,696
400,309
124,98
162,31
65,65
255,434
859,991
6,6
249,438
84,811
170,5
412,162
63,434
452,265
40,442
160,877
535,340
303,28
223,758
707,700
318,417
434,412
162,2
134,74
57,96
10,256
519,227
105,859
404,142
361,318
7,504
166,210
366,445
379,104
194,803
265,232
96,261
180,148
28,301
326,325
364,152
280,270
971,608
133,336
64,367
12,570
932,45
19,160
46,211
107,3
271,301
568,526
481,481
438,562
17,228
214,301
486,106
280,483
52,814
160,140
469,478
211,546
336,92
115,338
139,447
455,119
302,455
114,434
372,121
17,21
121,308
381,344
86,353
147,106
438,302
302,89
924,89
719,157
206,14
681,681
84,585
212,7
232,178
652,163
194,3
445,820
389,292
318,486
96,340
338,900
509,509
234,237
700,358
367,82
48,171
926,158
180,615
564,365
82,367
303,62
157,392
181,388
184,121
466,421
489,300
333,128
581,533
493,694
847,922
257,284
351,377
467,21
531,914
283,254
107,252
51,41
259,259
508,68
836,523
62,245
172,23
9,720
424,497
63,408
199,218
132,305
17,105
174,210
115,105
956,11
223,86
334,140
249,546
7,765
152,492
172,167
810,520
64,290
470,914
213,44
184,667
635,2
324,555
409,326
333,282
244,210
166,404
16,448
75,253
73,166
194,54
154,363
714,86
131,96
504,533
167,165
351,256
440,457
232,557
280,203
340,179
971,723
336,165
236,159
79,116
166,42
695,597
196,128
295,107
217,70
284,203
337,169
427,252
216,107
86,310
82,105
655,301
160,133
651,173
110,111
406,504
182,389
38,28
481,13
815,57
950,474
426,133
82,420
5,726
917,483
271,366
187,363
13,306
413,172
255,5
191,601
375,329
145,17
841,397
171,333
531,367
560,215
495,20
189,549
121,88
141,573
533,562
342,41
981,423
376,719
206,294
81,508
258,66
206,214
549,467
42,249
302,438
13,135
304,88
412,56
93,438
17,87
215,314
45,933
87,304
288,283
917,197
8,525
812,826
282,546
87,187
513,173
105,667
499,8
188,189
412,194
238,89
114,417
160,349
403,291
413,493
424,326
515,206
726,612
229,489
183,28
440,365
564,356
408,880
370,47
105,544
44,913
425,567
145,86
447,46
234,404
541,249
128,378
174,174
275,65
294,203
33,30
211,845
141,608
404,357
107,343
447,269
377,284
83,118
68,473
183,450
318,444
155,486
481,305
142,86
181,380
445,77
48,333
581,473
533,602
233,532
209,283
237,107
318,547
58,209
498,777
343,343
137,58
191,231
11,555
68,62
116,47
113,301
93,563
59,160
8,11
320,181
254,129
340,218
64,914
377,149
76,263
405,124
42,87
474,121
411,866
173,416
58,63
204,283
246,430
519,228
531,183
185,708
435,147
420,78
121,401
520,164
434,544
62,170
377,65
698,126
426,493
82,427
44,549
300,329
405,83
387,950
55,126
251,135
450,257
494,417
165,170
5,195
143,290
223,106
215,155
845,281
358,505
243,373
180,644
23,26
160,162
756,225
2,3
560,856
309,272
417,79
188,667
542,275
145,271
430,430
282,641
438,892
351,575
667,550
530,92
84,211
411,183
777,173
593,199
107,269
184,357
499,649
231,122
183,106
543,291
6,515
128,106
339,438
143,41
464,41
183,114
115,548
306,128
115,427
158,240
481,59
106,80
42,143
121,19
836,836
410,356
272,84
89,76
411,243
133,107
116,170
812,3
14,256
21,115
41,256
311,74
641,333
20,282
440,6
2,826
131,131
236,303
493,419
103,182
74,419
520,571
120,232
80,663
546,82
254,493
437,816
52,368
256,249
820,202
24,114
122,180
20,215
379,283
160,165
82,345
101,155
393,382
551,671
494,450
9,9
971,179
64,64
66,611
490,377
107,518
490,209
127,107
283,121
473,280
20,42
509,513
285,302
263,417
971,505
160,193
822,563
813,836
66,64
918,95
232,537
649,649
258,1003
726,1
115,16
118,387
102,98
95,122
35,655
869,181
464,35
685,685
438,169
314,218
142,166
491,377
515,413
572,294
356,480
284,231
115,121
422,333
377,342
89,54
685,92
333,107
230,283
96,318
168,434
340,79
428,446
856,12
367,405
405,187
385,380
533,128
87,163
210,16
149,621
93,27
178,539
281,54
355,518
243,240
181,179
142,453
105,233
333,361
564,340
168,820
368,14
57,58
107,253
397,53
366,190
420,285
839,191
820,197
160,147
815,92
615,115
720,441
210,83
167,60
918,232
82,327
434,303
58,142
284,681
213,182
172,486
387,389
310,170
832,520
641,541
92,815
423,245
280,221
199,377
483,255
533,393
6,481
90,91
129,160
880,174
121,129
213,407
42,490
303,82
440,497
559,518
420,408
549,549
121,242
379,296
347,191
409,197
105,203
478,183
165,437
31,229
178,200
413,562
546,144
268,421
86,201
457,493
92,11
413,177
74,549
589,283
612,791
257,450
685,59
544,542
306,28
142,280
405,162
851,575
232,176
210,256
4,121
342,228
160,23
615,152
73,223
608,566
106,424
450,295
17,363
288,756
420,402
20,20
435,127
14,797
420,123
976,847
107,74
83,233
478,105
179,181
488,362
302,160
971,391
277,277
13,550
263,444
89,136
412,87
197,955
64,96
96,59
174,121
22,686
845,845
159,62
249,155
357,143
421,434
314,225
280,21
157,283
504,11
133,464
318,443
152,366
290,563
118,597
170,183
357,256
253,315
730,231
10,327
434,28
9,44
300,642
367,75
169,255
169,360
17,163
311,184
243,412
7,249
254,128
42,41
183,308
59,303
69,107
362,121
211,6
452,661
121,362
47,79
404,84
29,545
859,137
896,892
154,493
971,10
922,699
96,455
74,105
549,508
394,250
748,708
170,123
211,16
140,269
373,240
450,95
201,533
318,455
249,357
932,393
51,141
413,65
133,280
156,321
280,280
581,872
426,86
14,380
54,809
284,472
423,981
15,404
362,107
499,699
820,412
84,162
372,58
236,211
271,281
218,220
206,776
223,18
232,320
63,162
283,378
518,954
550,21
38,443
64,89
87,215
106,21
198,165
178,231
932,303
82,12
494,340
82,393
545,438
390,295
283,280
89,437
249,169
284,278
461,447
460,214
82,23
6,272
634,634
809,57
37,37
892,896
170,164
65,434
371,155
467,189
341,316
87,256
197,908
290,329
282,375
39,29
332,608
700,957
754,266
446,272
23,460
251,370
4,54
83,44
448,87
661,754
379,394
338,115
149,148
215,650
877,81
87,23
533,520
324,666
329,190
347,681
419,280
417,29
533,97
914,470
419,84
549,309
80,114
525,699
395,389
971,400
337,170
420,68
375,160
41,85
419,405
114,107
153,82
160,78
215,227
39,86
776,342
466,500
418,467
493,909
258,18
446,15
5,728
82,543
243,305
19,504
569,451
293,374
147,269
822,290
142,105
244,615
41,28
318,36
500,501
106,87
412,826
45,447
282,74
420,520
260,331
305,494
11,525
102,812
408,434
145,366
287,536
306,169
129,188
160,87
528,5
495,290
300,283
74,166
430,246
433,70
747,82
131,252
546,208
308,256
169,114
336,337
236,269
301,28
291,232
115,113
212,820
981,925
442,35
323,5
211,240
314,317
61,872
125,708
221,403
428,272
307,872
47,47
434,21
212,420
74,366
170,31
813,413
121,282
281,845
201,94
448,271
564,158
557,232
183,480
377,960
337,338
46,21
320,394
60,181
429,100
563,494
169,256
116,411
206,95
182,396
404,662
971,448
58,814
128,21
157,381
466,231
95,51
495,739
38,23
206,426
488,466
19,452
82,283
206,204
183,223
592,273
300,102
142,83
283,367
2,408
411,24
482,576
820,167
13,2
290,283
753,900
927,210
53,389
820,198
314,184
53,231
44,166
367,28
498,956
114,172
333,460
9,8
507,243
413,515
685,698
333,83
160,892
241,498
589,83
107,690
412,81
221,73
478,543
932,98
509,260
424,93
238,302
295,311
61,181
59,55
238,210
51,85
411,54
209,845
193,845
57,949
71,433
420,531
114,89
247,498
14,312
486,21
283,82
218,199
134,64
333,283
560,106
473,434
671,80
82,337
265,570
44,569
447,447
859,932
349,156
925,114
218,219
58,57
290,437
389,317
593,822
531,79
285,4
645,645
40,24
420,11
409,118
295,321
256,304
65,574
170,116
277,515
427,212
135,136
856,560
420,166
4,859
323,271
162,163
424,132
438,367
971,114
537,411
401,430
90,459
379,60
900,169
483,94
282,121
173,531
62,426
393,397
151,424
356,509
115,58
133,232
328,357
546,290
364,21
518,492
971,324
62,64
664,515
715,21
167,820
103,0
14,53
612,272
455,47
300,355
156,180
15,933
379,61
900,914
833,365
29,473
900,5
543,16
482,129
644,5
131,932
121,432
434,229
266,9
157,668
163,106
62,342
13,820
412,845
447,446
423,301
268,459
82,748
347,179
211,402
201,486
158,159
16,107
48,114
404,87
96,369
492,950
173,126
498,200
455,169
76,139
738,285
690,5
187,283
473,509
173,282
98,100
441,506
17,295
6,194
809,63
28,419
322,322
142,424
13,93
8,566
235,159
121,71
620,620
756,390
27,24
107,490
131,82
443,333
528,64
543,430
377,776
321,232
351,214
131,132
106,1
520,286
332,699
291,450
896,303
329,303
180,157
963,243
322,794
204,196
695,249
390,491
166,212
166,377
305,59
389,341
366,174
525,265
419,591
58,96
311,297
271,470
655,367
429,166
450,544
290,165
295,377
95,351
405,367
438,93
559,166
295,382
178,629
743,743
82,647
166,221
249,329
305,2
277,14
375,112
62,371
232,120
371,405
589,105
168,206
445,64
373,112
128,205
22,155
48,211
283,4
441,44
747,62
61,393
44,358
366,812
444,47
160,197
106,223
200,413
608,498
191,420
832,194
223,73
303,5
62,372
165,93
198,64
21,357
279,118
107,221
179,262
39,883
301,482
209,63
221,493
508,473
107,393
62,226
142,747
178,342
233,288
601,333
932,255
298,287
362,6
227,227
4,2
823,823
75,135
467,160
198,201
61,379
340,554
493,440
168,183
172,212
366,226
2,271
20,271
592,428
551,69
63,379
187,152
65,135
161,44
540,549
452,141
47,14
21,518
88,304
51,283
322,269
158,639
272,216
82,107
338,420
526,782
549,710
292,62
466,406
728,96
169,326
406,43
211,129
529,529
323,162
296,103
37,29
388,296
238,244
312,17
65,275
153,212
64,918
273,819
411,261
665,859
226,366
206,167
756,73
494,395
324,43
171,41
54,532
137,22
280,333
165,51
65,990
147,329
496,451
165,165
612,828
35,31
105,48
169,137
249,16
180,256
282,212
851,342
812,160
283,107
822,936
397,64
317,366
121,719
410,183
40,40
105,771
268,419
832,102
303,244
395,181
166,140
377,95
288,433
13,667
305,64
358,502
826,63
552,131
88,285
152,212
354,353
212,114
126,286
160,818
936,776
283,21
367,32
393,422
7,566
185,52
377,127
377,294
57,532
379,384
939,350
545,25
258,559
209,319
395,494
434,106
301,624
121,393
212,211
926,237
92,513
419,91
377,562
562,457
747,83
437,89
417,170
450,167
87,441
160,67
11,359
242,209
254,665
638,169
121,93
255,212
674,661
500,506
14,85
121,278
936,822
355,170
339,25
259,127
434,97
93,361
285,840
144,283
264,804
799,189
40,816
113,338
273,271
607,421
809,138
7,62
115,28
300,11
28,438
552,256
106,357
548,170
129,165
685,2
549,778
147,173
350,861
122,231
48,367
64,51
339,30
41,23
308,169
434,411
568,426
135,337
19,525
168,533
483,727
40,438
443,455
138,56
459,756
232,265
301,228
32,361
406,525
217,431
744,744
434,198
272,428
61,465
845,252
116,531
29,331
393,433
470,151
9,213
700,299
380,562
925,318
105,155
62,366
273,139
883,32
107,137
542,403
322,335
533,58
142,226
196,196
359,265
426,403
510,661
271,2
74,224
178,180
730,468
83,372
21,17
15,448
13,244
215,268
958,509
65,664
169,160
279,107
13,272
35,301
342,107
438,30
547,87
385,377
177,200
190,42
121,252
474,87
73,106
116,434
473,963
234,319
306,69
90,107
366,121
157,734
438,860
820,105
404,654
83,221
438,29
3,812
615,244
317,18
165,33
63,481
310,62
211,480
256,518
473,44
8,573
38,329
419,143
226,892
96,4
5,527
4,282
362,16
374,501
420,249
376,150
500,141
160,336
57,64
585,84
257,401
390,104
388,388
82,130
591,142
74,85
131,126
201,95
434,420
254,62
81,671
282,258
304,809
549,218
68,220
283,303
543,113
342,351
333,320
303,210
169,80
283,105
83,292
543,494
409,710
82,356
129,19
155,351
197,820
58,408
128,362
322,434
856,264
474,256
549,627
748,283
11,270
19,267
498,205
215,82
145,950
46,355
49,84
86,686
918,197
252,832
419,62
508,747
141,232
313,313
122,656
285,481
211,103
89,165
340,419
458,397
91,90
812,63
96,23
160,404
255,256
412,256
329,375
562,129
405,174
710,184
390,320
189,434
209,963
53,380
13,342
143,480
242,159
89,62
497,170
524,72
431,217
107,481
895,417
569,360
981,411
117,106
380,232
450,458
459,268
231,129
434,100
639,639
107,77
211,56
261,121
137,3
170,437
166,393
84,546
823,856
180,257
381,150
162,412
254,256
809,738
489,365
169,355
423,176
66,514
295,391
96,24
64,458
196,593
116,455
373,311
6,430
914,28
283,380
520,971
397,841
164,446
166,129
252,661
426,263
720,856
152,183
134,777
363,128
320,320
100,142
13,273
543,576
438,151
314,74
183,128
3,411
747,671
166,0
0,316
296,256
529,525
258,476
82,279
292,232
249,23
36,121
420,337
318,115
160,906
214,284
728,20
254,233
217,49
520,3
529,504
707,331
10,121
504,501
210,137
560,358
132,256
346,214
478,652
452,700
404,121
147,42
5,840
232,575
160,321
165,27
29,443
379,64
282,424
209,154
92,400
44,86
155,655
7,374
338,16
351,280
243,615
60,280
87,473
222,86
211,212
44,8
546,44
20,10
394,61
333,166
160,285
455,170
376,379
400,21
363,210
747,513
191,681
133,183
58,481
8,950
160,303
249,83
932,46
107,212
211,84
484,494
290,145
6,2
211,281
140,164
455,39
597,411
350,343
113,76
215,87
26,34
301,168
536,166
255,405
367,105
152,153
245,981
25,23
520,160
249,393
211,340
955,955
192,193
113,165
599,96
747,189
86,280
162,404
299,855
411,2
458,160
564,208
766,134
367,212
611,419
84,478
659,659
599,481
197,215
167,128
31,29
812,601
331,225
139,282
520,685
433,50
859,56
422,546
134,6
6,183
269,434
412,89
355,183
169,128
275,562
160,173
231,621
387,60
405,28
251,32
56,137
482,531
357,357
486,28
820,180
125,99
57,137
1001,990
131,208
121,353
601,283
153,434
325,325
273,579
371,21
132,87
83,84
332,213
420,211
802,129
371,124
282,494
247,19
154,954
40,30
43,43
262,262
166,252
11,611
209,139
440,562
149,88
166,168
421,466
137,408
182,103
980,119
170,442
410,286
560,361
142,125
196,204
183,62
12,666
29,21
32,151
12,674
509,713
62,303
250,0
440,226
86,417
440,152
182,395
61,380
357,480
486,176
283,253
264,358
828,889
256,81
283,234
181,182
129,426
84,249
462,211
419,526
354,100
374,502
2,300
63,208
533,457
450,813
372,42
405,81
57,193
280,51
280,196
473,329
97,102
720,406
482,318
533,326
776,776
610,235
19,506
499,141
173,115
405,194
115,5
86,736
142,163
166,434
856,374
337,245
7,913
121,81
108,66
533,590
308,320
74,330
57,812
411,462
142,340
376,296
409,23
14,440
183,21
534,440
263,283
133,403
183,87
489,157
254,74
754,466
427,142
274,46
12,569
178,575
304,303
345,180
181,379
160,826
255,106
494,474
65,362
845,305
300,142
187,107
107,303
210,305
142,271
238,237
46,812
333,329
29,151
245,76
154,412
196,280
280,363
160,249
137,520
494,506
809,481
135,361
184,105
950,913
295,379
114,63
252,411
105,509
44,359
256,234
258,410
615,146
404,217
354,64
551,679
306,215
2,102
252,304
917,776
21,777
80,243
189,62
261,170
186,433
160,498
860,914
115,366
7,922
107,230
365,365
231,385
521,134
24,440
179,284
548,607
206,196
165,223
84,84
255,46
234,587
84,612
420,133
619,613
321,546
528,6
253,166
377,382
971,672
840,562
195,63
38,26
94,200
160,316
164,96
211,424
223,117
339,339
301,301
169,987
33,34
86,283
262,907
31,35
64,820
16,222
55,738
23,950
766,521
44,672
451,569
340,546
908,199
163,107
215,411
552,809
62,7
395,64
285,303
533,81
949,54
108,81
106,190
31,424
597,62
582,189
309,17
160,448
252,408
169,405
160,44
261,655
406,499
570,12
132,809
87,422
329,576
310,82
0,223
280,419
229,119
81,911
107,395
166,249
13,515
420,526
329,255
188,366
409,108
82,81
815,815
351,5
195,6
525,86
224,221
165,169
671,81
185,662
61,64
370,25
160,355
160,857
314,17
216,592
283,376
63,283
199,850
82,46
371,353
569,501
209,126
262,903
514,91
116,30
329,480
690,366
181,386
28,160
453,654
480,92
162,295
18,310
107,4
82,552
300,169
932,367
93,789
399,457
107,438
932,506
963,301
458,450
190,418
433,288
754,360
58,372
813,129
509,952
129,123
80,230
231,280
5,42
627,513
499,86
649,729
121,796
480,166
458,86
152,160
301,159
89,302
543,294
114,925
389,390
357,478
851,352
423,96
434,258
249,303
684,684
2,57
184,190
375,340
408,3
96,56
554,777
482,41
93,86
434,16
232,312
87,222
366,19
84,544
118,128
549,473
55,59
482,521
498,526
167,200
747,366
533,23
145,145
81,419
422,950
20,536
493,180
121,269
495,673
556,464
249,166
160,529
177,60
42,166
15,428
97,371
405,288
707,7
280,115
129,430
685,193
181,95
453,166
206,94
361,245
215,159
125,5
695,20
306,68
201,218
249,301
427,115
231,575
116,113
446,447
419,270
963,240
548,116
379,16
115,165
268,222
16,828
390,60
608,266
262,377
96,655
61,301
21,728
455,860
12,264
30,38
266,441
773,405
860,437
180,128
865,63
83,458
301,597
237,162
549,325
183,434
115,38
919,40
141,213
64,417
21,46
13,420
533,121
550,473
36,30
122,103
252,175
483,464
142,593
426,518
405,210
115,245
309,312
114,338
242,240
390,393
981,417
264,19
106,298
177,0
75,36
233,158
56,412
113,48
233,474
417,136
28,229
183,401
480,509
803,54
83,333
608,232
494,229
189,420
259,106
283,329
254,170
526,426
316,221
61,378
174,3
419,495
95,820
87,283
550,549
450,228
64,937
87,77
160,139
496,64
87,303
232,515
301,173
257,167
530,293
754,211
411,193
481,586
171,261
1000,206
188,311
582,160
271,408
491,170
2,55
269,154
294,294
136,115
371,351
0,218
508,550
342,294
473,32
280,464
262,656
375,357
954,87
237,159
464,128
900,455
548,1
285,105
366,184
809,131
16,771
494,212
459,464
182,388
932,748
100,371
63,473
13,303
5,285
672,365
141,431
79,420
93,133
215,177
280,42
541,160
321,391
391,320
557,129
276,276
121,647
87,45
13,47
142,896
733,306
9,957
234,241
41,166
393,150
420,20
360,105
820,342
57,56
226,62
424,356
377,389
167,257
372,433
82,285
820,159
408,305
338,263
258,91
193,803
283,128
493,523
395,295
36,545
107,333
138,685
183,183
41,820
288,434
4,271
409,581
886,366
806,285
637,637
283,820
502,7
707,61
95,207
981,444
976,442
271,283
329,96
390,268
155,188
144,546
128,367
85,872
424,151
537,394
981,361
404,708
489,644
273,2
194,990
102,832
16,518
5,96
287,92
238,236
343,345
508,418
356,121
408,586
23,87
669,930
522,563
142,23
101,323
379,321
82,142
295,150
272,334
51,160
172,107
97,323
405,121
611,129
146,368
113,914
334,334
569,452
214,536
65,371
82,221
223,256
164,107
359,504
268,215
486,263
60,150
136,437
661,420
232,440
430,44
187,550
526,257
411,604
748,62
135,409
455,547
543,425
493,457
814,52
641,166
133,168
65,177
21,405
390,526
121,145
455,470
223,166
615,64
107,8
232,61
485,485
674,141
445,581
991,412
498,74
423,333
28,31
45,164
573,141
